Speed[r/min],Torque[Nm],Voltage (Amplitude)[V],
0,2977.1144278607,34.3837142949657,
0,2994.02985074627,34.5969380926236,
0,3010.94527363184,34.8178506061949,
0,3027.86069651741,35.0463199456795,
0,3044.77611940298,35.2822142210772,
0,3061.69154228856,35.525401542388,
0,3078.60696517413,35.7757500196118,
0,3095.5223880597,36.0331277627485,
0,3112.43781094527,36.2974028817978,
0,3129.35323383085,36.5660221752544,
0,3146.26865671642,36.83038941998,
0,3163.18407960199,37.090851433717,
0,3180.09950248756,37.3486508957464,
0,3197.01492537313,37.6050304853493,
0,3213.93034825871,37.8612328818064,
0,3230.84577114428,38.1185007643989,
0,3247.76119402985,38.3780768124076,
0,3264.67661691542,38.6412037051135,
0,3281.59203980099,38.9302142669314,
0,3298.50746268657,38.9302142669314,
21.8905472636816,0,12.6579391433164,
21.8905472636816,16.9154228855721,12.9021421031268,
21.8905472636816,33.8308457711443,13.2025747733591,
21.8905472636816,50.7462686567164,13.563202586028,
21.8905472636816,67.6616915422886,13.9879909731481,
21.8905472636816,84.5771144278607,14.4809053667342,
21.8905472636816,101.492537313433,15.0459111988008,
21.8905472636816,118.407960199005,15.6869739013625,
21.8905472636816,135.323383084577,16.4080589064341,
21.8905472636816,152.238805970149,17.2131316460301,
21.8905472636816,169.154228855721,18.101406097305,
21.8905472636816,186.069651741294,18.9986672299354,
21.8905472636816,202.985074626866,19.8774437554643,
21.8905472636816,219.900497512438,20.7367010345724,
21.8905472636816,236.81592039801,21.5754044279406,
21.8905472636816,253.731343283582,22.3925192962495,
21.8905472636816,270.646766169154,23.18701100018,
21.8905472636816,287.562189054726,23.9578449004128,
21.8905472636816,304.477611940298,24.7039863576286,
21.8905472636816,321.393034825871,25.4244007325081,
21.8905472636816,338.308457711443,26.1196692295842,
21.8905472636816,355.223880597015,26.7949590908155,
21.8905472636816,372.139303482587,27.4485507620288,
21.8905472636816,389.054726368159,28.0779172078775,
21.8905472636816,405.970149253731,28.6805313930149,
21.8905472636816,422.885572139303,29.2538662820944,
21.8905472636816,439.800995024876,29.7953948397695,
21.8905472636816,456.716417910448,30.3025900306935,
21.8905472636816,473.63184079602,30.7729248195197,
21.8905472636816,490.547263681592,31.2038721709016,
21.8905472636816,507.462686567164,31.6018949397923,
21.8905472636816,524.378109452736,31.9838085899331,
21.8905472636816,541.293532338308,32.3567824786715,
21.8905472636816,558.208955223881,32.7278637874828,
21.8905472636816,575.124378109453,33.1040996978424,
21.8905472636816,592.039800995025,33.4925373912258,
21.8905472636816,608.955223880597,33.9002240491084,
21.8905472636816,625.870646766169,34.3342068529656,
21.8905472636816,642.786069651741,34.8015329842729,
21.8905472636816,659.701492537313,35.3090180097547,
21.8905472636816,676.616915422886,35.8508486639467,
21.8905472636816,693.532338308458,36.4143206228758,
21.8905472636816,710.44776119403,36.989360660597,
21.8905472636816,727.363184079602,37.5658955511653,
21.8905472636816,744.278606965174,38.1338520686357,
21.8905472636816,761.194029850746,38.6831569870633,
21.8905472636816,778.109452736318,39.2037370805031,
21.8905472636816,795.02487562189,39.6855191230102,
21.8905472636816,811.940298507463,40.1184298886394,
21.8905472636816,828.855721393035,40.4978887745263,
21.8905472636816,845.771144278607,40.8538051138099,
21.8905472636816,862.686567164179,41.1938219241267,
21.8905472636816,879.601990049751,41.5196959717772,
21.8905472636816,896.517412935323,41.8331840230622,
21.8905472636816,913.432835820895,42.1360428442819,
21.8905472636816,930.348258706468,42.4300292017371,
21.8905472636816,947.26368159204,42.7168998617283,
21.8905472636816,964.179104477612,42.9984115905559,
21.8905472636816,981.094527363184,43.2763211545205,
21.8905472636816,998.009950248756,43.5519031527123,
21.8905472636816,1014.92537313433,43.8256547307469,
