Speed[r/min],Torque[Nm],Current (Id)[A],
21.8905472636816,3095.5223880597,-252.442412097812,
21.8905472636816,3112.43781094527,-254.033405730874,
21.8905472636816,3129.35323383085,-255.627661621088,
21.8905472636816,3146.26865671642,-257.193225309846,
21.8905472636816,3163.18407960199,-258.732014511776,
21.8905472636816,3180.09950248756,-260.249390464032,
21.8905472636816,3197.01492537313,-261.750756591756,
21.8905472636816,3213.93034825871,-263.241558900427,
21.8905472636816,3230.84577114428,-264.727286625312,
21.8905472636816,3247.76119402985,-266.213473110935,
21.8905472636816,3264.67661691542,-269.340256198825,
21.8905472636816,3281.59203980099,-269.340256198825,
43.7810945273632,0,0,
43.7810945273632,16.9154228855721,-0.529138841236747,
43.7810945273632,33.8308457711443,-1.9672824566783,
43.7810945273632,50.7462686567164,-4.07911448259267,
43.7810945273632,67.6616915422886,-6.63122523738784,
43.7810945273632,84.5771144278607,-9.40766267245496,
43.7810945273632,101.492537313433,-12.2182772527347,
43.7810945273632,118.407960199005,-14.9003902342728,
43.7810945273632,135.323383084577,-17.3149327213072,
43.7810945273632,152.238805970149,-19.3385751900933,
43.7810945273632,169.154228855721,-20.8782478696594,
43.7810945273632,186.069651741294,-22.2473456810643,
43.7810945273632,202.985074626866,-23.5788022774503,
43.7810945273632,219.900497512438,-24.8763558970475,
43.7810945273632,236.81592039801,-26.1434954502159,
43.7810945273632,253.731343283582,-27.3834721797789,
43.7810945273632,270.646766169154,-28.5993114782811,
43.7810945273632,287.562189054726,-29.7938247207672,
43.7810945273632,304.477611940298,-30.9696209875457,
43.7810945273632,321.393034825871,-32.1291185655832,
43.7810945273632,338.308457711443,-33.274944425588,
43.7810945273632,355.223880597015,-34.4110583127459,
43.7810945273632,372.139303482587,-35.5403323554645,
43.7810945273632,389.054726368159,-36.6656737436199,
43.7810945273632,405.970149253731,-37.7901897761121,
43.7810945273632,422.885572139303,-38.917179076466,
43.7810945273632,439.800995024876,-40.0501219357092,
43.7810945273632,456.716417910448,-41.1926696639233,
43.7810945273632,473.63184079602,-42.3486328246327,
43.7810945273632,490.547263681592,-43.5219682162542,
43.7810945273632,507.462686567164,-44.7062264854163,
43.7810945273632,524.378109452736,-45.8856596984041,
43.7810945273632,541.293532338308,-47.0575827518765,
43.7810945273632,558.208955223881,-48.2192853211892,
43.7810945273632,575.124378109453,-49.3678807634287,
43.7810945273632,592.039800995025,-50.5003069400326,
43.7810945273632,608.955223880597,-51.6133258163891,
43.7810945273632,625.870646766169,-52.7035217328112,
43.7810945273632,642.786069651741,-53.7672982505066,
43.7810945273632,659.701492537313,-54.801290116297,
43.7810945273632,676.616915422886,-55.8195456663859,
43.7810945273632,693.532338308458,-56.8341990769469,
43.7810945273632,710.44776119403,-57.8505359976719,
43.7810945273632,727.363184079602,-58.8741753876536,
43.7810945273632,744.278606965174,-59.9110628270147,
43.7810945273632,761.194029850746,-60.9674611567409,
43.7810945273632,778.109452736318,-62.0499380772625,
43.7810945273632,795.02487562189,-63.1653503103464,
43.7810945273632,811.940298507463,-64.3208238906103,
43.7810945273632,828.855721393035,-65.5205983128544,
43.7810945273632,845.771144278607,-66.748258356745,
43.7810945273632,862.686567164179,-67.9981467297591,
43.7810945273632,879.601990049751,-69.2676535057372,
43.7810945273632,896.517412935323,-70.5540064581442,
43.7810945273632,913.432835820895,-71.8542772399314,
43.7810945273632,930.348258706468,-73.1653872328798,
43.7810945273632,947.26368159204,-74.4841129463261,
43.7810945273632,964.179104477612,-75.807090839339,
43.7810945273632,981.094527363184,-77.1308214358276,
43.7810945273632,998.009950248756,-78.4525862775836,
43.7810945273632,1014.92537313433,-79.7723594419216,
43.7810945273632,1031.8407960199,-81.0895962784267,
43.7810945273632,1048.75621890547,-82.4036888305963,
43.7810945273632,1065.67164179104,-83.7140149549087,
43.7810945273632,1082.58706467662,-85.019938127347,
43.7810945273632,1099.50248756219,-86.3208071692045,
43.7810945273632,1116.41791044776,-87.6159558896107,
43.7810945273632,1133.33333333333,-88.9047026422652,
43.7810945273632,1150.24875621891,-90.1863597377825,
43.7810945273632,1167.16417910448,-91.4627153324387,
43.7810945273632,1184.07960199005,-92.7363326494322,
43.7810945273632,1200.99502487562,-94.0084829871164,
43.7810945273632,1217.91044776119,-95.2804886707993,
43.7810945273632,1234.82587064677,-96.5537228540757,
43.7810945273632,1251.74129353234,-97.8296092218404,
43.7810945273632,1268.65671641791,-99.1096215770468,
43.7810945273632,1285.57213930348,-100.395283293224,
43.7810945273632,1302.48756218905,-101.688166614623,
43.7810945273632,1319.40298507463,-102.990512136438,
43.7810945273632,1336.3184079602,-104.309210927354,
43.7810945273632,1353.23383084577,-105.64335890665,
43.7810945273632,1370.14925373134,-106.989821415463,
43.7810945273632,1387.06467661692,-108.345358079667,
43.7810945273632,1403.98009950249,-109.706626094441,
43.7810945273632,1420.89552238806,-111.070182578789,
43.7810945273632,1437.81094527363,-112.432485904686,
43.7810945273632,1454.7263681592,-113.78989590392,
43.7810945273632,1471.64179104478,-115.138672855111,
43.7810945273632,1488.55721393035,-116.475759199681,
43.7810945273632,1505.47263681592,-117.802611763525,
43.7810945273632,1522.38805970149,-119.121513090489,
43.7810945273632,1539.30348258706,-120.434730154243,
43.7810945273632,1556.21890547264,-121.744601055906,
43.7810945273632,1573.13432835821,-123.053535716703,
43.7810945273632,1590.04975124378,-124.364016169417,
43.7810945273632,1606.96517412935,-125.678596405794,
43.7810945273632,1623.88059701493,-126.999901737189,
43.7810945273632,1640.7960199005,-128.330627625563,
43.7810945273632,1657.71144278607,-129.67375657406,
43.7810945273632,1674.62686567164,-131.029697138889,
43.7810945273632,1691.54228855721,-132.397091971609,
43.7810945273632,1708.45771144279,-133.774540184414,
43.7810945273632,1725.37313432836,-135.160600124308,
43.7810945273632,1742.28855721393,-136.553790602738,
43.7810945273632,1759.2039800995,-137.952591964641,
43.7810945273632,1776.11940298507,-139.355446982025,
43.7810945273632,1793.03482587065,-140.760761556893,
43.7810945273632,1809.95024875622,-142.166750379584,
43.7810945273632,1826.86567164179,-143.569230311448,
43.7810945273632,1843.78109452736,-144.967711293658,
43.7810945273632,1860.69651741294,-146.363270417678,
43.7810945273632,1877.61194029851,-147.757012683274,
43.7810945273632,1894.52736318408,-149.150071204516,
43.7810945273632,1911.44278606965,-150.543607325175,
43.7810945273632,1928.35820895522,-151.938810634893,
43.7810945273632,1945.2736318408,-153.336898877506,
43.7810945273632,1962.18905472637,-154.739117742902,
43.7810945273632,1979.10447761194,-156.146072210609,
43.7810945273632,1996.01990049751,-157.55506879885,
43.7810945273632,2012.93532338308,-158.965220123574,
43.7810945273632,2029.85074626866,-160.376004785358,
43.7810945273632,2046.76616915423,-161.786891676855,
43.7810945273632,2063.6815920398,-163.197339962618,
43.7810945273632,2080.59701492537,-164.606799034076,
43.7810945273632,2097.51243781094,-166.014708438486,
43.7810945273632,2114.42786069652,-167.420497780675,
43.7810945273632,2131.34328358209,-168.823586596383,
43.7810945273632,2148.25870646766,-170.22590146682,
43.7810945273632,2165.17412935323,-171.631586957128,
43.7810945273632,2182.08955223881,-173.040753574536,
