Speed[r/min],Torque[Nm],Power Factor,
43.7810945273632,2503.48258706468,0.926296876957839,
43.7810945273632,2520.39800995025,0.926053025745607,
43.7810945273632,2537.31343283582,0.925798972516339,
43.7810945273632,2554.22885572139,0.925537935863373,
43.7810945273632,2571.14427860697,0.925273134380045,
43.7810945273632,2588.05970149254,0.925007786659695,
43.7810945273632,2604.97512437811,0.924745111295659,
43.7810945273632,2621.89054726368,0.924488326881277,
43.7810945273632,2638.80597014925,0.92424162535512,
43.7810945273632,2655.72139303483,0.924008216291123,
43.7810945273632,2672.6368159204,0.923786551545635,
43.7810945273632,2689.55223880597,0.923574903255887,
43.7810945273632,2706.46766169154,0.923371543559114,
43.7810945273632,2723.38308457711,0.923174744592546,
43.7810945273632,2740.29850746269,0.922982778493418,
43.7810945273632,2757.21393034826,0.922793917398961,
43.7810945273632,2774.12935323383,0.922606433446409,
43.7810945273632,2791.0447761194,0.92241859766301,
43.7810945273632,2807.96019900498,0.922227995173174,
43.7810945273632,2824.87562189055,0.922033631362421,
43.7810945273632,2841.79104477612,0.921835718072249,
43.7810945273632,2858.70646766169,0.921634467144154,
43.7810945273632,2875.62189054726,0.921430090419636,
43.7810945273632,2892.53731343284,0.921222799740191,
43.7810945273632,2909.45273631841,0.921012806947316,
43.7810945273632,2926.36815920398,0.920800323882511,
43.7810945273632,2943.28358208955,0.920585562387271,
43.7810945273632,2960.19900497512,0.920368612340067,
43.7810945273632,2977.1144278607,0.9201478848952,
43.7810945273632,2994.02985074627,0.919922508191642,
43.7810945273632,3010.94527363184,0.919692066371532,
43.7810945273632,3027.86069651741,0.91945614357701,
43.7810945273632,3044.77611940298,0.919214323950217,
43.7810945273632,3061.69154228856,0.918966191633293,
43.7810945273632,3078.60696517413,0.918711330768378,
43.7810945273632,3095.5223880597,0.918449325497612,
43.7810945273632,3112.43781094527,0.918179759963137,
43.7810945273632,3129.35323383085,0.91861367940642,
43.7810945273632,3146.26865671642,0.922073836620574,
43.7810945273632,3163.18407960199,0.928055827161242,
43.7810945273632,3180.09950248756,0.935783343412629,
43.7810945273632,3197.01492537313,0.944480077758941,
43.7810945273632,3213.93034825871,0.953369722584381,
43.7810945273632,3230.84577114428,0.961675970273156,
43.7810945273632,3247.76119402985,0.968622513209471,
43.7810945273632,3264.67661691542,0.94756820816923,
43.7810945273632,3281.59203980099,0.94756820816923,
65.6716417910448,0,0,
65.6716417910448,16.9154228855721,0.183367691501529,
65.6716417910448,33.8308457711443,0.351086611509449,
65.6716417910448,50.7462686567164,0.502055533382902,
65.6716417910448,67.6616915422886,0.635173230481029,
65.6716417910448,84.5771144278607,0.749338476162973,
65.6716417910448,101.492537313433,0.843450043787876,
65.6716417910448,118.407960199005,0.916406706714881,
65.6716417910448,135.323383084577,0.967107238303129,
65.6716417910448,152.238805970149,0.994450411911764,
65.6716417910448,169.154228855721,0.998443936005365,
65.6716417910448,186.069651741294,0.996213501427191,
65.6716417910448,202.985074626866,0.993930935083895,
65.6716417910448,219.900497512438,0.991592299834625,
65.6716417910448,236.81592039801,0.98919365853853,
65.6716417910448,253.731343283582,0.986731074054757,
65.6716417910448,270.646766169154,0.984200609242454,
65.6716417910448,287.562189054726,0.98159832696077,
65.6716417910448,304.477611940298,0.978920290068851,
65.6716417910448,321.393034825871,0.976162561425847,
65.6716417910448,338.308457711443,0.973338883030482,
65.6716417910448,355.223880597015,0.970535368953805,
65.6716417910448,372.139303482587,0.967791663437001,
65.6716417910448,389.054726368159,0.965140031845609,
65.6716417910448,405.970149253731,0.962612739545169,
65.6716417910448,422.885572139303,0.96024205190122,
65.6716417910448,439.800995024876,0.958060234279301,
65.6716417910448,456.716417910448,0.956099552044951,
65.6716417910448,473.63184079602,0.95439227056371,
65.6716417910448,490.547263681592,0.952970655201117,
65.6716417910448,507.462686567164,0.951803698123315,
65.6716417910448,524.378109452736,0.950785114720786,
65.6716417910448,541.293532338308,0.949874873774858,
65.6716417910448,558.208955223881,0.949033795535206,
65.6716417910448,575.124378109453,0.948222700251509,
65.6716417910448,592.039800995025,0.947402408173442,
65.6716417910448,608.955223880597,0.946533739550684,
65.6716417910448,625.870646766169,0.945577514632912,
65.6716417910448,642.786069651741,0.944494553669801,
65.6716417910448,659.701492537313,0.943245949240314,
65.6716417910448,676.616915422886,0.941822033193223,
65.6716417910448,693.532338308458,0.940261573081098,
65.6716417910448,710.44776119403,0.938607065804035,
65.6716417910448,727.363184079602,0.936901008262128,
65.6716417910448,744.278606965174,0.935185897355472,
65.6716417910448,761.194029850746,0.933504229984161,
65.6716417910448,778.109452736318,0.931898503048291,
65.6716417910448,795.02487562189,0.930411213447956,
65.6716417910448,811.940298507463,0.929084858083251,
65.6716417910448,828.855721393035,0.927958468752731,
65.6716417910448,845.771144278607,0.927028236118339,
65.6716417910448,862.686567164179,0.926270367920659,
65.6716417910448,879.601990049751,0.925662190042351,
65.6716417910448,896.517412935323,0.925181028366074,
65.6716417910448,913.432835820895,0.92480420877449,
65.6716417910448,930.348258706468,0.924509057150257,
65.6716417910448,947.26368159204,0.924272899376036,
65.6716417910448,964.179104477612,0.924073061334487,
65.6716417910448,981.094527363184,0.923886868908269,
65.6716417910448,998.009950248756,0.923685987175805,
65.6716417910448,1014.92537313433,0.92344760006823,
65.6716417910448,1031.8407960199,0.923172126046241,
65.6716417910448,1048.75621890547,0.922860649265807,
65.6716417910448,1065.67164179104,0.922514253882897,
