RPM,Ld,Lq,Torque_Mag[Nm],Torque_Rel[Nm],Total_Torque[Nm],Efficiency[%],Voltage(V)
0.0,0.006651988721147183,0.023471305741703648,519.2315770765744,1068.702685653516,1587.9342627300903,0.0,21.1322711661296
0.0,0.006654245843260008,0.023384032353863587,522.8005425471484,1082.0013791782208,1604.801921725369,0.0,21.2130463313583
0.0,0.006656369407456793,0.023297507315441356,526.349062793858,1095.3059526371142,1621.655015430972,0.0,21.3107367608349
0.0,0.006658339733674006,0.023211707394492975,529.8774872823335,1108.6169154983502,1638.4944027806837,0.0,21.4325050216707
0.0,0.006660137691809888,0.02312675940257147,533.3856178676971,1121.9427608729898,1655.3283787406867,0.0,21.5734549469381
0.0,0.00666175042885696,0.023042823749903234,536.8731364857221,1135.2939430337483,1672.1670795194705,0.0,21.7206464431814
0.0,0.0066631691149471135,0.0229598924881146,540.3403565443872,1148.672116096704,1689.0124726410913,0.0,21.8717531586494
0.0,0.006664385369390699,0.022877957673265198,543.7876014130268,1162.0790038805403,1705.866605293567,0.0,22.0244661225366
0.0,0.006665391236260289,0.02279701159485001,547.2152035925454,1175.5164126481066,1722.7316162406519,0.0,22.1764763640378
0.0,0.006666179163818812,0.022717046763923988,550.6235047783001,1188.9862310828116,1739.6097358611119,0.0,22.3254749123475
0.0,0.006666741984975605,0.022638055901703168,554.0128559226263,1202.4904302682412,1756.5032861908676,0.0,22.4691527966603
0.0,0.006667072898713794,0.02256003192861606,557.3836172968518,1216.0310636705003,1773.414680967352,0.0,22.605201046171
0.0,0.006667165452433883,0.02248296795377046,560.7361585529419,1229.6102671232545,1790.3464256761963,0.0,22.7313106900741
0.0,0.006667020724709084,0.02240681731787035,564.0718435127284,1243.227099194443,1807.2989427071716,0.0,22.8451037317999
0.0,0.0066667787292639885,0.022330769945989953,567.4110827669522,1256.8192766617897,1824.2303594287418,0.0,22.9439285238737
0.0,0.006666478149797534,0.022254593613659616,570.7605361151428,1270.3679375622464,1841.1284736773891,0.0,23.0286905582409
0.0,0.00666609633225813,0.022178400501277507,574.1183615233298,1283.8815433065984,1857.9999048299283,0.0,23.1012549488411
0.0,0.006665610932045008,0.022102303029775287,577.4826172467822,1297.369045949672,1874.8516631964542,0.0,23.1634868096138
0.0,0.0066649998989807115,0.022026413771585693,580.8512619295813,1310.8398930909523,1891.6911550205336,0.0,23.2172512544987
0.0,0.006664241465030945,0.02195084537485372,584.2221546455129,1324.304032723486,1908.5261873689988,0.0,23.2644133974355
0.0,0.006663314134694202,0.021875710501147737,587.5930548763957,1337.7719180220458,1925.3649728984415,0.0,23.3068383523637
0.0,0.006662196677989689,0.02180112177690338,590.9616224237877,1351.254512061692,1942.2161344854796,0.0,23.346391233223
0.0,0.006660868125976144,0.02172719175880353,594.3254172501496,1364.763292457966,1959.0887097081154,0.0,23.3849371539529
0.0,0.0066593266841335486,0.02165399611551465,597.6822329220553,1378.305400442843,1975.987633364898,0.0,23.4258697829196
0.0,0.006657654509507091,0.021581412670071916,601.0316896675843,1391.8635601721594,1992.8952498397437,0.0,23.4774906566243
0.0,0.006655868080834378,0.021509398692337114,604.3728108282273,1405.4327107680167,2009.805521596244,0.0,23.5401978007344
0.0,0.00665397199973423,0.02143793264171453,607.7044036730496,1419.0104587295202,2026.71486240257,0.0,23.6133081981807
0.0,0.006651970478929749,0.021366994694962397,611.0252252595259,1432.5944097854674,2043.6196350449932,0.0,23.6961388318941
