Speed[r/min],Torque[Nm],Current (Iq)[A],
21.8905472636816,2351.24378109453,147.190346007654,
21.8905472636816,2368.1592039801,147.898969920117,
21.8905472636816,2385.07462686567,148.607410224486,
21.8905472636816,2401.99004975124,149.316365017762,
21.8905472636816,2418.90547263682,150.026552621127,
21.8905472636816,2435.82089552239,150.738711618381,
21.8905472636816,2452.73631840796,151.453600873361,
21.8905472636816,2469.65174129353,152.171954999426,
21.8905472636816,2486.5671641791,152.893703835789,
21.8905472636816,2503.48258706468,153.61812623917,
21.8905472636816,2520.39800995025,154.344468734467,
21.8905472636816,2537.31343283582,155.071952448572,
21.8905472636816,2554.22885572139,155.799773072175,
21.8905472636816,2571.14427860697,156.527100790891,
21.8905472636816,2588.05970149254,157.253080184706,
21.8905472636816,2604.97512437811,157.976830094729,
21.8905472636816,2621.89054726368,158.697443456243,
21.8905472636816,2638.80597014925,159.413781007464,
21.8905472636816,2655.72139303483,160.125120789377,
21.8905472636816,2672.6368159204,160.831975625464,
21.8905472636816,2689.55223880597,161.534917882629,
21.8905472636816,2706.46766169154,162.234536457621,
21.8905472636816,2723.38308457711,162.93143692881,
21.8905472636816,2740.29850746269,163.62624169738,
21.8905472636816,2757.21393034826,164.319590117545,
21.8905472636816,2774.12935323383,165.012138615394,
21.8905472636816,2791.0447761194,165.704573253506,
21.8905472636816,2807.96019900498,166.4085428967,
21.8905472636816,2824.87562189055,167.131883217591,
21.8905472636816,2841.79104477612,167.87164397123,
21.8905472636816,2858.70646766169,168.624785889556,
21.8905472636816,2875.62189054726,169.388181756999,
21.8905472636816,2892.53731343284,170.158617155787,
21.8905472636816,2909.45273631841,170.93279087051,
21.8905472636816,2926.36815920398,171.707314940914,
21.8905472636816,2943.28358208955,172.478714351504,
21.8905472636816,2960.19900497512,173.243567960785,
21.8905472636816,2977.1144278607,174.00103830462,
21.8905472636816,2994.02985074627,174.750947687826,
21.8905472636816,3010.94527363184,175.492757847747,
21.8905472636816,3027.86069651741,176.22591859497,
21.8905472636816,3044.77611940298,176.949867622455,
21.8905472636816,3061.69154228856,177.664030305839,
21.8905472636816,3078.60696517413,178.36781949481,
21.8905472636816,3095.5223880597,179.060635295469,
21.8905472636816,3112.43781094527,179.741864843597,
21.8905472636816,3129.35323383085,180.41781347106,
21.8905472636816,3146.26865671642,181.11385967193,
21.8905472636816,3163.18407960199,181.831884970466,
21.8905472636816,3180.09950248756,182.571194694988,
21.8905472636816,3197.01492537313,183.330993357675,
21.8905472636816,3213.93034825871,184.11039011352,
21.8905472636816,3230.84577114428,184.908403101431,
21.8905472636816,3247.76119402985,185.723962655128,
21.8905472636816,3264.67661691542,187.36015155509,
21.8905472636816,3281.59203980099,187.36015155509,
43.7810945273632,0,0,
43.7810945273632,16.9154228855721,3.99231078058258,
43.7810945273632,33.8308457711443,7.63000964583639,
43.7810945273632,50.7462686567164,10.8098078644965,
43.7810945273632,67.6616915422886,13.506958417189,
43.7810945273632,84.5771144278607,15.7616970891531,
43.7810945273632,101.492537313433,17.6630679785944,
43.7810945273632,118.407960199005,19.3321394285071,
43.7810945273632,135.323383084577,20.9058923837514,
43.7810945273632,152.238805970149,22.5222770576401,
43.7810945273632,169.154228855721,24.2933267729417,
43.7810945273632,186.069651741294,26.087528176067,
43.7810945273632,202.985074626866,27.8402262256597,
43.7810945273632,219.900497512438,29.5518770360123,
43.7810945273632,236.81592039801,31.2231610776499,
43.7810945273632,253.731343283582,32.8549646462051,
43.7810945273632,270.646766169154,34.4483631364719,
43.7810945273632,287.562189054726,36.0046059886172,
43.7810945273632,304.477611940298,37.5251031811298,
43.7810945273632,321.393034825871,39.0114131530332,
43.7810945273632,338.308457711443,40.4675938223079,
43.7810945273632,355.223880597015,41.904094006099,
43.7810945273632,372.139303482587,43.320682896866,
43.7810945273632,389.054726368159,44.7157561230796,
43.7810945273632,405.970149253731,46.0875414012481,
43.7810945273632,422.885572139303,47.4340974438401,
43.7810945273632,439.800995024876,48.7533110783597,
43.7810945273632,456.716417910448,50.0428924686344,
43.7810945273632,473.63184079602,51.3003683407232,
43.7810945273632,490.547263681592,52.5230731286141,
43.7810945273632,507.462686567164,53.7194871606439,
