Speed[r/min],Torque[Nm],Efficiency[%],
43.7810945273632,50.7462686567164,87.2382368140573,
43.7810945273632,67.6616915422886,87.2728136617776,
43.7810945273632,84.5771144278607,87.008158871653,
43.7810945273632,101.492537313433,86.5938842902541,
43.7810945273632,118.407960199005,86.0954161602498,
43.7810945273632,135.323383084577,85.5459142548254,
43.7810945273632,152.238805970149,84.9639851446475,
43.7810945273632,169.154228855721,84.3646041445058,
43.7810945273632,186.069651741294,83.809203960949,
43.7810945273632,202.985074626866,83.3072753900663,
43.7810945273632,219.900497512438,82.8493414201573,
43.7810945273632,236.81592039801,82.4286153230512,
43.7810945273632,253.731343283582,82.0400921378804,
43.7810945273632,270.646766169154,81.6799866053418,
43.7810945273632,287.562189054726,81.3453725582139,
43.7810945273632,304.477611940298,81.0339442189189,
43.7810945273632,321.393034825871,80.7438538424313,
43.7810945273632,338.308457711443,80.4729982313803,
43.7810945273632,355.223880597015,80.2169081925521,
43.7810945273632,372.139303482587,79.9728647253507,
43.7810945273632,389.054726368159,79.7388354051602,
43.7810945273632,405.970149253731,79.513143201255,
43.7810945273632,422.885572139303,79.2943931834465,
43.7810945273632,439.800995024876,79.0814166743677,
43.7810945273632,456.716417910448,78.8732281865468,
43.7810945273632,473.63184079602,78.6689918541899,
43.7810945273632,490.547263681592,78.4679950029,
43.7810945273632,507.462686567164,78.2690705952216,
43.7810945273632,524.378109452736,78.0712299914528,
43.7810945273632,541.293532338308,77.8745893361843,
43.7810945273632,558.208955223881,77.6792561090834,
43.7810945273632,575.124378109453,77.4853217380183,
